  N       Pint
  1     1000.0000
  2     995.52924
  3     987.44947
  4     979.36970
  5     970.86468
  6     957.86472
  7     941.57986
  8     922.19321
  9     901.01393
 10     875.60443
 11     847.68079
 12     816.51773
 13     766.95654
 14     708.82605
 15     644.04498
 16     579.82544
 17     517.37610
 18     457.21466
 19     399.66806
 20     344.87244
 21     295.18390
 22     251.98593
 23     213.95282
 24     181.86335
 25     154.58681
 26     131.40127
 27     111.69321
 28     94.941042
 29     80.701418
 30     63.323483
 31     45.867477
 32     30.669123
 33     18.555317
 34     10.157947
 35     5.0316919
 36     2.2552395
