  N      Pint
  1      1000.0000
  2      994.27154
  3      981.76666
  4      967.71871
  5      952.48688
  6      936.77698
  7      920.00415
  8      902.19417
  9      883.40667
 10      863.74096
 11      841.75339
 12      816.63613
 13      787.17978
 14      744.75069
 15      673.89558
 16      598.03575
 17      521.83279
 18      454.25002
 19      392.27803
 20      338.01865
 21      291.98314
 22      250.20493
 23      213.95282
 24      181.86335
 25      154.58681
 26      131.40127
 27      111.69321
 28      94.941042
 29      80.701418
 30      63.323483
 31      45.867477
 32      30.669123
 33      18.555317
 34      10.157947
 35      5.0316919
 36      2.2552395
